Date,P.D,Temp
2017-01-01,14330.605,0.2
2017-01-01,14031.47875,0
2017-01-01,13765.01125,-0.3
2017-01-01,13691.68375,-0.7
2017-01-01,13628.47,-1.1
2017-01-01,13872.685,-1.4
2017-01-01,13685.17,-1.5
2017-01-01,13889.99875,-1.5
2017-01-01,13826.2,-1.3
2017-01-01,14079.73,-0.4
2017-01-01,14803.42,0.8
2017-01-01,14920.7575,2.5
2017-01-01,14784.2275,4
2017-01-01,14670.9175,5.1
2017-01-01,14713.15,6.7
2017-01-01,14731.7125,6.9
2017-01-01,14865.82375,6.8
2017-01-01,14922.85,6.5
2017-01-01,14965.04875,5.6
2017-01-01,15095.16625,4.8
2017-01-01,15017.11375,4.2
2017-01-01,14936.72125,4
2017-01-01,14463.11875,3.9
2017-01-01,14620.68625,3.9
2017-01-02,14298.9475,3.9
2017-01-02,13631.6425,3.9
2017-01-02,13637.3125,3.8
2017-01-02,13740.41875,3.7
2017-01-02,14106.40375,3.7
2017-01-02,14770.87375,3.7
2017-01-02,15809.1025,3.6
2017-01-02,17887.84375,3.6
2017-01-02,19392.16,3.8
2017-01-02,20001.69625,4.1
2017-01-02,19916.93875,5.2
2017-01-02,19650.28,6.3
2017-01-02,18974.8975,7.6
2017-01-02,19270.19875,8.1
2017-01-02,19328.755,9.2
2017-01-02,19290.775,8.3
2017-01-02,18429.385,8
2017-01-02,18396.88375,7.1
2017-01-02,17427.08875,6.4
2017-01-02,16105.77625,6
2017-01-02,15527.41375,5
2017-01-02,15736.43875,4.3
2017-01-02,15590.70625,3.7
2017-01-02,15269.305,2.8
2017-01-03,14582.12125,1.8
2017-01-03,14223.82,1
2017-01-03,13957.69,0.2
2017-01-03,13943.05375,-0.7
2017-01-03,14068.8175,-1
2017-01-03,14273.57875,-1.3
2017-01-03,15895.44625,-1.8
2017-01-03,18404.455,-2.1
2017-01-03,19740.9325,-2.1
2017-01-03,19703.45875,-1.4
2017-01-03,19937.66125,1.1
2017-01-03,19697.4625,4.1
2017-01-03,19167.64375,5.9
2017-01-03,19139.6425,7
2017-01-03,19002.71875,7
2017-01-03,18986.69875,7.2
2017-01-03,18807.8575,6.9
2017-01-03,18908.9275,5.3
2017-01-03,17652.08875,3.8
2017-01-03,16763.13625,2.8
2017-01-03,16242.3625,2.2
2017-01-03,15601.225,1.8
2017-01-03,14565.955,1.7
2017-01-03,14399.77,1.2
2017-01-04,14278.9675,1
2017-01-04,14012.33125,1.8
